YYYYMMDD,EV
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,EV24
#,"STN,YYYYMMDD,"
"344,20100901,",22
"344,20100902,",19
"344,20100903,",21
"344,20100904,",27
"344,20100905,",32
"344,20100906,",30
"344,20100907,",7
"344,20100908,",8
"344,20100909,",24
"344,20100910,",10
"344,20100911,",28
"344,20100912,",16
"344,20100913,",24
"344,20100914,",3
"344,20100915,",21
"344,20100916,",13
"344,20100917,",14
"344,20100918,",22
"344,20100919,",11
"344,20100920,",12
"344,20100921,",17
"344,20100922,",24
"344,20100923,",10
"344,20100924,",14
"344,20100925,",15
"344,20100926,",11
"344,20100927,",3
"344,20100928,",7
"344,20100929,",18
"344,20100930,",7
"344,20101001,",17
"344,20101002,",10
"344,20101003,",20
"344,20101004,",12
"344,20101005,",12
"344,20101006,",5
"344,20101007,",11
"344,20101008,",9
"344,20101009,",18
"344,20101010,",19
"344,20101011,",18
"344,20101012,",13
"344,20101013,",6
"344,20101014,",4
"344,20101015,",5
"344,20101016,",11
"344,20101017,",13
"344,20101018,",9
"344,20101019,",8
"344,20101020,",7
"344,20101021,",14
"344,20101022,",8
"344,20101023,",2
"344,20101024,",7
"344,20101025,",10
"344,20101026,",5
"344,20101027,",3
"344,20101028,",4
"344,20101029,",6
"344,20101030,",6
"344,20101031,",3
"344,20101101,",4
"344,20101102,",3
"344,20101103,",7
"344,20101104,",4
"344,20101105,",2
"344,20101106,",6
"344,20101107,",3
"344,20101108,",4
"344,20101109,",2
"344,20101110,",4
"344,20101111,",1
"344,20101112,",5
"344,20101113,",3
"344,20101114,",2
"344,20101115,",5
"344,20101116,",4
"344,20101117,",3
"344,20101118,",3
"344,20101119,",2
"344,20101120,",4
"344,20101121,",4
"344,20101122,",4
"344,20101123,",2
"344,20101124,",3
"344,20101125,",2
"344,20101126,",3
"344,20101127,",1
"344,20101128,",3
"344,20101129,",0
"344,20101130,",2
"344,20101201,",2
"344,20101202,",1
"344,20101203,",3
"344,20101204,",1
"344,20101205,",2
"344,20101206,",2
"344,20101207,",2
"344,20101208,",1
"344,20101209,",4
"344,20101210,",1
"344,20101211,",2
"344,20101212,",3
"344,20101213,",2
"344,20101214,",1
"344,20101215,",3
"344,20101216,",0
"344,20101217,",1
"344,20101218,",3
"344,20101219,",1
"344,20101220,",3
"344,20101221,",1
"344,20101222,",1
"344,20101223,",1
"344,20101224,",2
"344,20101225,",3
"344,20101226,",5
"344,20101227,",2
"344,20101228,",1
"344,20101229,",1
"344,20101230,",4
"344,20101231,",1
"344,20110101,",2
"344,20110102,",3
"344,20110103,",2
"344,20110104,",3
"344,20110105,",3
"344,20110106,",1
"344,20110107,",1
"344,20110108,",2
"344,20110109,",5
"344,20110110,",4
"344,20110111,",1
"344,20110112,",1
"344,20110113,",1
"344,20110114,",1
"344,20110115,",1
"344,20110116,",4
"344,20110117,",1
"344,20110118,",2
"344,20110119,",2
"344,20110120,",5
"344,20110121,",2
"344,20110122,",2
"344,20110123,",1
"344,20110124,",2
"344,20110125,",3
"344,20110126,",4
"344,20110127,",5
"344,20110128,",6
"344,20110129,",5
"344,20110130,",2
"344,20110131,",2
"344,20110201,",2
"344,20110202,",2
"344,20110203,",6
"344,20110204,",2
"344,20110205,",3
"344,20110206,",5
"344,20110207,",4
"344,20110208,",7
"344,20110209,",4
"344,20110210,",4
"344,20110211,",3
"344,20110212,",2
"344,20110213,",5
"344,20110214,",3
"344,20110215,",8
"344,20110216,",10
"344,20110217,",12
"344,20110218,",1
"344,20110219,",5
"344,20110220,",4
"344,20110221,",8
"344,20110222,",8
"344,20110223,",3
"344,20110224,",5
"344,20110225,",3
"344,20110226,",2
"344,20110227,",2
"344,20110228,",1
"344,20110301,",3
"344,20110302,",11
"344,20110303,",11
"344,20110304,",12
"344,20110305,",3
"344,20110306,",12
"344,20110307,",16
"344,20110308,",17
"344,20110309,",9
"344,20110310,",6
"344,20110311,",16
"344,20110312,",14
"344,20110313,",9
"344,20110314,",8
"344,20110315,",15
"344,20110316,",13
"344,20110317,",3
"344,20110318,",3
"344,20110319,",19
"344,20110320,",19
"344,20110321,",20
"344,20110322,",19
"344,20110323,",16
"344,20110324,",22
"344,20110325,",21
"344,20110326,",4
"344,20110327,",21
"344,20110328,",19
"344,20110329,",23
"344,20110330,",9
