# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 344         4.447       51.962      -4.30       Rotterdam   
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# EV24      : Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)
# STN,YYYYMMDD,   RH, EV24
  344,19561001,     ,     
  344,19561002,     ,     
  344,19561003,     ,     
  344,19561004,     ,     
  344,19561005,     ,     
  344,19561006,     ,     
  344,19561007,     ,     
  344,19561008,     ,     
  344,19561009,     ,     
  344,19561010,     ,     
  344,19561011,     ,     
  344,19561012,     ,     
  344,19561013,     ,     
  344,19561014,     ,     
  344,19561015,     ,     
  344,19561016,     ,     
  344,19561017,     ,     
  344,19561018,     ,     
  344,19561019,     ,     
  344,19561020,     ,     
  344,19561021,     ,     
  344,19561022,     ,     
  344,19561023,     ,     
  344,19561024,     ,     
  344,19561025,     ,     
  344,19561026,     ,     
  344,19561027,     ,     
  344,19561028,     ,     
  344,19561029,     ,     
  344,19561030,     ,     
  344,19561031,     ,     
  344,19561101,     ,     
  344,19561102,     ,     
  344,19561103,     ,     
  344,19561104,     ,     
  344,19561105,     ,     
  344,19561106,     ,     
  344,19561107,     ,     
  344,19561108,     ,     
  344,19561109,     ,     
  344,19561110,     ,     
  344,19561111,     ,     
  344,19561112,     ,     
  344,19561113,     ,     
  344,19561114,     ,     
  344,19561115,     ,     
  344,19561116,     ,     
  344,19561117,     ,     
  344,19561118,     ,     
  344,19561119,     ,     
  344,19561120,     ,     
  344,19561121,     ,     
  344,19561122,     ,     
  344,19561123,     ,     
  344,19561124,     ,     
  344,19561125,     ,     
  344,19561126,     ,     
  344,19561127,     ,     
  344,19561128,     ,     
  344,19561129,     ,     
  344,19561130,     ,     
  344,19561201,     ,     
  344,19561202,     ,     
  344,19561203,     ,     
  344,19561204,     ,     
  344,19561205,     ,     
  344,19561206,     ,     
  344,19561207,     ,     
  344,19561208,     ,     
  344,19561209,     ,     
  344,19561210,     ,     
  344,19561211,     ,     
  344,19561212,     ,     
  344,19561213,     ,     
  344,19561214,     ,     
  344,19561215,     ,     
  344,19561216,     ,     
  344,19561217,     ,     
  344,19561218,     ,     
  344,19561219,     ,     
  344,19561220,     ,     
  344,19561221,     ,     
  344,19561222,     ,     
  344,19561223,     ,     
  344,19561224,     ,     
  344,19561225,     ,     
  344,19561226,     ,     
  344,19561227,     ,     
  344,19561228,     ,     
  344,19561229,     ,     
  344,19561230,     ,     
  344,19561231,     ,     
  344,19570101,     ,     
  344,19570102,     ,     
  344,19570103,     ,     
  344,19570104,     ,     
  344,19570105,     ,     
  344,19570106,     ,     
  344,19570107,     ,     
  344,19570108,     ,     
  344,19570109,     ,     
  344,19570110,     ,     
  344,19570111,     ,     
  344,19570112,     ,     
  344,19570113,     ,     
  344,19570114,     ,     
  344,19570115,     ,     
  344,19570116,     ,     
  344,19570117,     ,     
  344,19570118,     ,     
  344,19570119,     ,     
  344,19570120,     ,     
  344,19570121,     ,     
  344,19570122,     ,     
  344,19570123,     ,     
  344,19570124,     ,     
  344,19570125,     ,     
  344,19570126,     ,     
  344,19570127,     ,     
  344,19570128,     ,     
  344,19570129,     ,     
  344,19570130,     ,     
  344,19570131,     ,     
  344,19570201,     ,     
  344,19570202,     ,     
  344,19570203,     ,     
  344,19570204,     ,     
  344,19570205,     ,     
  344,19570206,     ,     
  344,19570207,     ,     
  344,19570208,     ,     
  344,19570209,     ,     
  344,19570210,     ,     
  344,19570211,     ,     
  344,19570212,     ,     
  344,19570213,     ,     
  344,19570214,     ,     
  344,19570215,     ,     
  344,19570216,     ,     
  344,19570217,     ,     
  344,19570218,     ,     
  344,19570219,     ,     
  344,19570220,     ,     
  344,19570221,     ,     
  344,19570222,     ,     
  344,19570223,     ,     
  344,19570224,     ,     
  344,19570225,     ,     
  344,19570226,     ,     
  344,19570227,     ,     
  344,19570228,     ,     
  344,19570301,     ,     
  344,19570302,     ,     
  344,19570303,     ,     
  344,19570304,     ,     
  344,19570305,     ,     
  344,19570306,     ,     
  344,19570307,     ,     
  344,19570308,     ,     
  344,19570309,     ,     
  344,19570310,     ,     
